Identifiant station;Nom de la Station;Nom de la ligne;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;stop_lon;stop_lat;point_geo;pollution_unifiee;pm10;pm25;no2;o3
IDFM:22006;Place d'Italie;Métro 5;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.35559694336975;48.83096622708413;48.83096622708413, 2.35559694336975;pollution moyenne;;;;
IDFM:463026;Place d'Italie;Métro 7;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.355330902236442;48.83154938471729;48.83154938471729, 2.355330902236442;pollution moyenne;;;;
IDFM:22099;Pont de Neuilly;Métro 1;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.258495429369125;48.88548938897471;48.885489388974705, 2.2584954293691255;pollution moyenne;;;;
IDFM:22111;Porte Dauphine;Métro 2;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.277632717545272;48.87139679524832;48.871396795248316, 2.2776327175452717;pollution moyenne;;;;
IDFM:463263;Porte des Lilas;Métro 11;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.4065226763982275;48.87723143067265;48.87723143067265, 2.4065226763982275;pollution faible;;;;
IDFM:22375;Pyramides;Métro 7;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.334417535966556;48.86588028991413;48.865880289914124, 2.3344175359665553;pollution faible;;;;
IDFM:22024;Quatre Septembre;Métro 3;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3362786423248583;48.86959592111917;48.86959592111917, 2.3362786423248583;pollution moyenne;;;;
IDFM:22131;Raspail;Métro 4;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.330466993719873;48.83915635952557;48.83915635952557, 2.330466993719873;pollution faible;;;;
IDFM:463292;Raspail;Métro 6;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.33041447123548;48.8390661288004;48.8390661288004, 2.3304144712354793;pollution moyenne;;;;
IDFM:463072;Réaumur - Sébastopol;Métro 4;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.352381731140252;48.866077771215046;48.866077771215046, 2.352381731140252;pollution faible;;;;
IDFM:462968;Rennes;Métro 12;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.32802068556793;48.84819024311401;48.84819024311401, 2.32802068556793;pollution moyenne;;;;
IDFM:462963;République;Métro 9;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3633023407804536;48.86751235781114;48.86751235781114, 2.3633023407804536;pollution moyenne;;;;
IDFM:463294;Reuilly - Diderot;Métro 1;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3858367760086865;48.84734982784612;48.84734982784612, 2.3858367760086865;pollution faible;;;;
IDFM:22098;Reuilly - Diderot;Métro 8;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.387201070409392;48.84721292669797;48.84721292669797, 2.3872010704093922;pollution moyenne;;;;
IDFM:490793;Rosny-Bois-Perrier;Métro 11;Évaluation : impossible faute d’informations;non;;;;2.480609800808591;48.88302567942574;48.88302567942574, 2.480609800808591;;;;;
